name,title,short_description,place,date,category,url,source,country,city,image_url
15-я Юбилейная Азербайджанская Международная Выставка «Индустрия Красоты»,15-я Юбилейная Азербайджанская Международная Выставка «Индустрия Красоты»,15-я Юбилейная Азербайджанская Международная Выставка «Индустрия Красоты»,,29.10.2026,Транспорт,https://beautyexpo.az,iteca.az,Азербайджан,Баку,parsed_images/d5a378808942.jpg
28-я Азербайджанская Международная Выставка «Медицинские Инновации»,28-я Азербайджанская Международная Выставка «Медицинские Инновации»,28-я Азербайджанская Международная Выставка «Медицинские Инновации»,,29.10.2026,Медицина,https://medinex.az,iteca.az,Азербайджан,Баку,parsed_images/a2a9bd86cf2e.jpg
14-я Каспийская Международная Выставка «Дорожная Инфраструктура и Общественный Транспорт»,14-я Каспийская Международная Выставка «Дорожная Инфраструктура и Общественный Транспорт»,14-я Каспийская Международная Выставка «Дорожная Инфраструктура и Общественный Транспорт»,,14.10.2026,Транспорт,https://roadtraffic.az,iteca.az,Азербайджан,Баку,parsed_images/73bc9de8683e.jpg
5-я Юбилейная Каспийская Международная выставка «Индустрии Пластмасс и Полимеров»,5-я Юбилейная Каспийская Международная выставка «Индустрии Пластмасс и Полимеров»,5-я Юбилейная Каспийская Международная выставка «Индустрии Пластмасс и Полимеров»,,14.10.2026,Транспорт,https://plastex.az,iteca.az,Азербайджан,Баку,parsed_images/0206845f0e5c.jpg
"6-я Азербайджанская Международная Выставка «Восстановление, Реконструкция и Развитие Карабаха»","6-я Азербайджанская Международная Выставка «Восстановление, Реконструкция и Развитие Карабаха»","6-я Азербайджанская Международная Выставка «Восстановление, Реконструкция и Развитие Карабаха»",,14.10.2026,Транспорт,https://rebuildkarabakh.az,iteca.az,Азербайджан,Баку,parsed_images/916b683ee58b.jpg
"18-я Международная Выставка «Отопление, Вентиляция, Кондиционирование, Водоснабжение, Сантехника и Бассейны»","18-я Международная Выставка «Отопление, Вентиляция, Кондиционирование, Водоснабжение, Сантехника и Бассейны»","18-я Международная Выставка «Отопление, Вентиляция, Кондиционирование, Водоснабжение, Сантехника и Бассейны»",,14.10.2026,Транспорт,https://aquatherm.az,iteca.az,Азербайджан,Баку,parsed_images/ccbb45c22513.jpg
"15-я Юбилейная Международная Выставка<br/> «Внутренняя безопасность, Охрана и Спасательная техника»","15-я Юбилейная Международная Выставка<br/> «Внутренняя безопасность, Охрана и Спасательная техника»","15-я Юбилейная Международная Выставка<br/> «Внутренняя безопасность, Охрана и Спасательная техника»",,30.09.2026,Транспорт,https://securexcaspian.az,iteca.az,Азербайджан,Баку,parsed_images/9d0093556b90.jpg
6-я Азербайджанская Международная Оборонная Выставка,6-я Азербайджанская Международная Оборонная Выставка,6-я Азербайджанская Международная Оборонная Выставка,,30.09.2026,Транспорт,https://adex.az,iteca.az,Азербайджан,Баку,parsed_images/390d55e2def2.jpg
"23-я Каспийская Международная Выставка «Транспорт, Транзит и Логистика»","23-я Каспийская Международная Выставка «Транспорт, Транзит и Логистика»","23-я Каспийская Международная Выставка «Транспорт, Транзит и Логистика»",,01.06.2026,Транспорт,https://translogistica.az,iteca.az,Азербайджан,Баку,parsed_images/81b5676c8a9f.jpg
31-й Бакинский Энергетический Форум,31-й Бакинский Энергетический Форум,31-й Бакинский Энергетический Форум,,01.06.2026,Энергетика,https://bakuenergyforum.az,iteca.az,Азербайджан,Баку,parsed_images/a4eecbfedc6e.jpg
14-я Каспийская Международная Выставка «Чистая Энергетика»,14-я Каспийская Международная Выставка «Чистая Энергетика»,14-я Каспийская Международная Выставка «Чистая Энергетика»,,01.06.2026,Энергетика,https://caspianpower.az,iteca.az,Азербайджан,Баку,parsed_images/1cc551f390b2.jpg
31-я Международная Выставка «Нефть и Газ Каспия»,31-я Международная Выставка «Нефть и Газ Каспия»,31-я Международная Выставка «Нефть и Газ Каспия»,,01.06.2026,Нефть и Газ,https://caspianoilgas.az,iteca.az,Азербайджан,Баку,parsed_images/c1a3376fd3e0.jpg
Бакинская Энергетическая Неделя,Бакинская Энергетическая Неделя,Бакинская Энергетическая Неделя,,01.06.2026,Энергетика,https://,iteca.az,Азербайджан,Баку,parsed_images/bea31733448c.jpg
"14-я Каспийская Международная выставка «Все для Отелей, Ресторанов и Супермаркетов»","14-я Каспийская Международная выставка «Все для Отелей, Ресторанов и Супермаркетов»","14-я Каспийская Международная выставка «Все для Отелей, Ресторанов и Супермаркетов»",,05.05.2026,Транспорт,https://horecaexpo.az,iteca.az,Азербайджан,Баку,parsed_images/08e68820e684.jpg
31-я Азербайджанская Международная Выставка «Пищевая Промышленность»,31-я Азербайджанская Международная Выставка «Пищевая Промышленность»,31-я Азербайджанская Международная Выставка «Пищевая Промышленность»,,05.05.2026,Транспорт,https://interfood.az,iteca.az,Азербайджан,Баку,parsed_images/020b665451eb.jpg
UEW 2026,UEW 2026,CAEx / Узбекистан,CAEx / Узбекистан,,Другое,https://energyforum.uz,iteca.uz,Узбекистан,Ташкент,NO IMAGE
OGU 2026,OGU 2026,CAEx Узбекистан / Ташкент,CAEx Узбекистан / Ташкент,,Другое,https://oilgas.uz,iteca.uz,Узбекистан,Ташкент,NO IMAGE
TIHE 2026,TIHE 2026,CAEx Uzbekistan / Ташкент,CAEx Uzbekistan / Ташкент,,Другое,https://tihe.uz,iteca.uz,Узбекистан,Ташкент,NO IMAGE
Tashkent Water Week 2026,Tashkent Water Week 2026,"JW Marriott Hotel Tashkent / Ташкент, Узбекистан","JW Marriott Hotel Tashkent / Ташкент, Узбекистан",,Туризм,https://tashkentwaterweek.uz,iteca.uz,Узбекистан,Ташкент,NO IMAGE
AgroWorld Uzbekistan 2026,AgroWorld Uzbekistan 2026,"НВК ""Узэкспоцентр"" / Ташкент, Узбекистан","НВК ""Узэкспоцентр"" / Ташкент, Узбекистан",,Другое,https://agroworld.uz,iteca.uz,Узбекистан,Ташкент,NO IMAGE
27-я Международная выставка «Строительство -UzBuild 2026» Специализированный раздел UzBui…,27-я Международная выставка «Строительство -UzBuild 2026» Специализированный раздел UzBui…,,,,Строительство,https://uzexpocentre.uz/ru/news/27-th-uzbekistan-international-exhibition-for-construction-uzbuild-2026-specialized-section-of-uzbuild-construction-techniques-technologies-buildtech-2026,uzexpocentre.uz,Узбекистан,,parsed_images/04af469dd8b9.jpg
OGU 2026,OGU 2026,Международная выставка и конференция Нефть и газ Узбекистана,CAEx Uzbekistan,12.05.2026,Нефть и Газ,https://expomap.ru/expo/ogu/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/17484332253418b4bff0ef633f993c18424ba949b832db6af3d04.png
Power Uzbekistan 2026,Power Uzbekistan 2026,"Энергетика, энергосбережение, атомная энергетика, альтернативные источники энергии",CAEx Uzbekistan,12.05.2026,Энергетика,https://expomap.ru/expo/power-uzbekistan/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/1678939100341bced73fefb0713525a45291602232b8dec1cfe53.1.png
Beauty Uzbekistan 2026,Beauty Uzbekistan 2026,"Международная выставка индустрии красоты, эстетической медицины, косметологии и антивозрастного ухода",CAEx Uzbekistan,28.04.2026,Медицина,https://expomap.ru/expo/beauty-uzbekistan/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/17484342353413d184b7f7a13d75dee489bc83383a174d8ec686e.png
Woodtech & MebelExpo Uzbeksitan 2026,Woodtech & MebelExpo Uzbeksitan 2026,Международная выставка Технологии производства. Деревообработка. Мебель и интерьер,НВК «Узэкспоцентр»,28.04.2026,IT/Digital,https://expomap.ru/expo/woodtech-mebelexpo-uzbeksitan/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/1751449250341f21bfb94cdf9cd6c702b92048968575981fe173b.png
ИННОПРОМ. Центральная Азия 2026,ИННОПРОМ. Центральная Азия 2026,Международная промышленная выставка,CAEx Uzbekistan,20.04.2026,Транспорт,https://expomap.ru/expo/innoprom-tsentralnaja-azija/?erid=2Vfnxw5aTuj,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/InnopromCentralAsia_200x200.png
Big Industrial Week Tashkent 2026,Big Industrial Week Tashkent 2026,Международная промышленная и технологическая выставка и форум,CAEx Uzbekistan,20.04.2026,IT/Digital,https://expomap.ru/expo/big-industrial-week-tashkent/,expomap.ru,Узбекистан,Ташкент,NO IMAGE
UzSecureExpo 2026,UzSecureExpo 2026,Международная специализированная выставка Технологии безопасности. Противопожарная защита. Охрана труда. IT безопасность .,НВК «Узэкспоцентр»,07.04.2026,IT/Digital,https://expomap.ru/expo/uzsecureexpo/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/UzSecureExpo-2026-logo.jpg
UzMetalMashExpo 2026,UzMetalMashExpo 2026,"Международная выставка металлургии, металлообработки и сварки",НВК «Узэкспоцентр»,07.04.2026,Mining,https://expomap.ru/expo/uzmetalmashexpo/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/UzMetalMash-2026-logo.jpg
UzTechTransExpo 2026,UzTechTransExpo 2026,"Международная выставка спецтехники, транспорта и логистических услуг",НВК «Узэкспоцентр»,07.04.2026,Транспорт,https://expomap.ru/expo/uztechtransexpo/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/UzTechTransExpo-2026-logo.jpg
